station_id,station_name,num_departures,num_arrivals
356,Stony Island Ave & 71st St,14,21
25,Michigan Ave & Pearson St,516,469
625,Chicago Ave & Dempster St,83,104
442,California Ave & 23rd Pl,41,42
62,McCormick Place,260,274
162,Damen Ave & Wellington Ave,162,182
434,Ogden Ave & Roosevelt Rd,107,132
34,Cannon Dr & Fullerton Ave,287,313
252,Greenwood Ave & 47th St,62,66
440,Central Park Ave & 24th St,7,5
410,Prairie Ave & 43rd St,17,28
251,Clarendon Ave & Leland Ave,187,192
9,Leavitt St & Archer Ave,34,39
532,Austin Blvd & Lake St,15,15
555,Ashland Ave & 50th St,5,3
441,Kedzie Ave & 24th St,6,9
407,State St & Pershing Rd,6,11
636,Orleans St & Hubbard St (*),95,87
637,Wood St & Chicago Ave (*),24,31
110,Dearborn St & Erie St,1228,1203
520,Greenview Ave & Jarvis Ave,106,95
343,Racine Ave & Wrightwood Ave,270,252
99,Lake Shore Dr & Ohio St,662,637
173,Mies van der Rohe Way & Chicago Ave,684,689
506,Spaulding Ave & Armitage Ave,163,206
364,Larrabee St & Oak St,435,473
138,Clybourn Ave & Division St,312,364
197,Michigan Ave & Madison St,535,571
195,Columbus Dr & Randolph St,1783,1145
152,Lincoln Ave & Diversey Pkwy,436,364
463,Clark St & Berwyn Ave,349,369
255,Indiana Ave & Roosevelt Rd,1079,942
325,Clark St & Winnemac Ave (Temp),319,330
312,Clarendon Ave & Gordon Ter,352,365
498,California Ave & Fletcher St,82,106
377,Kedzie Ave & Lake St,42,39
417,Cornell Ave & Hyde Park Blvd,252,234
13,Wilton Ave & Diversey Pkwy,654,708
504,Campbell Ave & Fullerton Ave,136,134
482,Campbell Ave & Montrose Ave,126,120
45,Michigan Ave & Congress Pkwy,379,339
394,Clark St & 9th St (AMLI),217,252
14,Morgan St & 18th St,207,217
308,Seeley Ave & Roscoe St,174,159
597,Chicago Ave & Washington St,139,142
150,Fort Dearborn Dr & 31st St,361,389
518,Conservatory Dr & Lake St,30,23
471,Francisco Ave & Foster Ave,65,84
509,Troy St & North Ave,84,64
530,Laramie Ave & Kinzie St,8,3
265,Cottage Grove Ave & Oakwood Blvd,43,36
573,State St & 79th St,13,11
546,Damen Ave & Pershing Rd,10,11
393,Calumet Ave & 71st St,4,1
543,Laramie Ave & Gladys Ave,2,2
657,Wood St & Augusta Blvd,42,42
542,Central Ave & Madison St,1,4
16,Paulina Ave & North Ave,314,313
219,Damen Ave & Cortland St,447,406
318,Southport Ave & Irving Park Rd,257,237
282,Halsted St & Maxwell St,334,330
38,Clark St & Lake St,809,767
98,LaSalle St & Washington St,637,548
50,Clark St & Congress Pkwy,640,628
306,Sheridan Rd & Buena Ave,203,251
462,Winchester (Ravenswood) Ave & Balmoral Ave,94,137
272,Indiana Ave & 31st St,202,184
337,Clark St & Chicago Ave,565,501
148,State St & 33rd St,394,427
46,Wells St & Walton St,342,253
185,Stave St & Armitage Ave,113,97
334,Lake Shore Dr & Belmont Ave,625,674
146,Loomis St & Jackson Blvd,276,215
166,Ashland Ave & Wrightwood Ave,217,240
144,Larrabee St & Webster Ave,607,576
352,Jeffery Blvd & 67th St,22,26
465,Marine Dr & Ainslie St,203,218
257,Lincoln Ave & Waveland Ave,159,187
246,Ashland Ave & Belle Plaine Ave,83,65
499,Kosciuszko Park,94,88
207,Emerald Ave & 28th St,86,93
204,Prairie Ave & Garfield Blvd,79,58
427,Cottage Grove Ave & 63rd St,38,32
369,Wood St & 35th St,18,31
429,Cottage Grove Ave & 67th St,14,14
279,Halsted St & 35th St (*),80,68
397,Saginaw Ave & Exchange Ave,16,12
262,Halsted St & 37th St,25,32
398,Rainbow Beach,6,8
635,Fairbanks St & Superior St (*),53,81
663,Lincolnwood Dr & Central St,9,2
75,Canal St & Jackson Blvd,614,625
493,Western Ave & Roscoe St,155,165
88,Racine Ave & Randolph St,413,398
107,Desplaines St & Jackson Blvd,750,738
77,Clinton St & Madison St,2552,2447
317,Wood St & Taylor St,288,290
248,Woodlawn Ave & 55th St,171,155
134,Peoria St & Jackson Blvd,686,663
220,Clark St & Drummond Pl,636,732
454,Broadway & Granville Ave,225,210
158,Milwaukee Ave & Wabansia Ave,494,467
342,Wolcott Ave & Polk St,455,410
253,Winthrop Ave & Lawrence Ave,222,210
524,Austin Blvd & Chicago Ave,5,10
452,Western Ave & Granville Ave,33,35
42,Wabash Ave & Cermak Rd,149,163
622,California Ave & Cortez St,180,199
351,Cottage Grove Ave & 51st St,33,35
268,Lake Shore Dr & North Blvd,1553,1822
355,South Shore Dr & 67th St,35,34
203,Western Ave & 21st St,72,62
237,MLK Jr Dr & 29th St,504,468
406,Lake Park Ave & 35th St,82,79
492,Leavitt St & Addison St,101,87
592,Knox Ave & Montrose Ave,24,23
559,Racine Ave & Garfield Blvd,4,3
627,LaSalle Dr & Huron St (*),367,323
584,Ellis Ave & 83rd St,3,1
541,Central Ave & Harrison St,5,2
390,Wentworth Ave & 63rd St,11,6
572,State St & 76th St,4,3
558,Ashland Ave & Garfield Blvd,1,1
593,Halsted St & 59th St,2,2
44,State St & Randolph St,981,939
160,Campbell Ave & North Ave,177,174
217,Racine Ave (May St) & Fulton St,330,375
47,State St & Kinzie St,895,1017
117,Wilton Ave & Belmont Ave,912,900
89,Financial Pl & Congress Pkwy (Temp),408,397
322,Kimbark Ave & 53rd St,364,372
109,900 W Harrison St,319,278
285,Wood St & Hubbard St,180,185
349,Halsted St & Wrightwood Ave,434,481
115,Sheffield Ave & Wellington Ave,601,637
610,Marion St & South Blvd,2,3
345,Lake Park Ave & 56th St,204,223
281,Western Ave & 24th St,32,29
453,Clark St & Schreiber Ave,80,69
72,Wabash Ave & 16th St,443,523
22,May St & Taylor St,508,476
198,Green St & Madison St,821,897
402,Shields Ave & 31st St,111,104
214,Damen Ave & Grand Ave,285,285
229,Southport Ave & Roscoe St,627,672
466,Ridge Blvd & Touhy Ave,32,27
505,Winchester Ave & Elston Ave,159,171
54,Ogden Ave & Chicago Ave,459,416
418,Ellis Ave & 53rd St,208,213
314,Ravenswood Ave & Berteau Ave,191,168
624,Dearborn St & Van Buren St (*),225,246
507,Humboldt Blvd & Armitage Ave,207,208
184,State St & 35th St,155,187
6,Dusable Harbor,704,587
431,Eberhart Ave & 61st St,14,7
354,Sheridan Rd & Greenleaf Ave,71,72
421,MLK Jr Dr & 56th St (*),15,17
11,Jeffery Blvd & 71st St,19,18
201,Indiana Ave & 40th St,29,19
443,Millard Ave & 26th St,17,19
218,Wells St & 19th St,74,84
589,Milwaukee Ave & Cuyler Ave,23,26
388,Halsted St & 63rd St,14,16
395,Jeffery Blvd & 76th St,6,6
529,Cicero Ave & Lake St,4,4
361,DIVVY CASSETTE REPAIR MOBILE STATION,6,3
628,Walsh Park,16,15
303,Broadway & Cornelia Ave,566,586
30,Ashland Ave & Augusta Blvd,295,299
287,Franklin St & Monroe St,1628,1440
133,Kingsbury St & Kinzie St,1725,1749
211,St. Clair St & Erie St,948,1213
125,Rush St & Hubbard St,627,625
276,California Ave & North Ave,129,139
31,Franklin St & Chicago Ave,701,594
56,Desplaines St & Kinzie St,945,854
447,Glenwood Ave & Morse Ave,203,209
57,Clinton St & Roosevelt Rd,304,332
289,Wells St & Concord Ln,1015,1055
233,Sangamon St & Washington Blvd (*),395,393
494,Kedzie Ave & Bryn Mawr Ave,17,27
175,Wells St & Polk St,388,399
332,Burling St (Halsted) & Diversey Pkwy (Temp),413,403
61,Wood St & Milwaukee Ave,541,583
106,State St & Pearson St,625,569
137,Morgan Ave & 14th Pl,234,231
605,University Library (NU),148,168
238,Wolcott (Ravenswood) Ave & Montrose Ave (*),202,172
426,Ellis Ave & 60th St,343,378
256,Broadway & Sheridan Rd,282,285
103,Clinton St & Polk St (*),109,132
484,Monticello Ave & Irving Park Rd,67,57
87,Racine Ave & Fullerton Ave,391,434
179,MLK Jr Dr & Pershing Rd,45,45
400,Cottage Grove Ave & 71st St,6,6
448,Warren Park East,28,38
508,Central Park Ave & North Ave,54,51
514,Ridge Blvd & Howard St,29,25
595,Wabash Ave & 87th St,4,7
547,Ashland Ave & Pershing Rd,15,12
621,Aberdeen St & Randolph St,367,345
550,Central Ave & Chicago Ave,2,6
582,Phillips Ave & 83rd St,2,2
639,Lakefront Trail & Wilson Ave,19,27
