bikeid,max_tripduration,min_tripduration,average_tripduration
5098,1601.00,127.00,552.83
1122,4606.00,158.00,774.02
1834,4064.00,76.00,1053.95
5329,15097.00,99.00,2263.10
2888,4246.00,196.00,938.42
2971,3495.00,98.00,804.71
1383,1631.00,218.00,799.27
4949,2324.00,193.00,825.06
2552,4619.00,155.00,970.00
1472,9024.00,283.00,2212.45
6429,9114.00,101.00,1128.27
1597,6183.00,96.00,1453.22
5684,1972.00,126.00,786.10
2537,5561.00,168.00,993.19
5140,4095.00,154.00,969.78
1933,5642.00,164.00,844.38
4047,1727.00,209.00,523.37
5973,4791.00,145.00,954.43
5316,14987.00,171.00,2371.33
5984,7440.00,183.00,1012.49
3830,1248.00,546.00,864.50
4933,7529.00,230.00,1202.93
2699,3519.00,188.00,1201.57
2798,5500.00,139.00,955.10
6196,7824.00,190.00,1015.15
2285,2692.00,186.00,817.14
2596,4413.00,120.00,1316.88
6298,6974.00,78.00,970.34
6375,5705.00,254.00,1226.46
6208,4527.00,144.00,999.46
3955,6031.00,118.00,952.90
6382,7121.00,109.00,1126.15
6229,15890.00,134.00,1065.25
5677,3654.00,209.00,1070.79
3537,2522.00,192.00,652.81
4929,2987.00,111.00,939.81
3720,5218.00,99.00,1003.08
2144,3204.00,220.00,1004.42
3276,2855.00,144.00,783.41
4609,1714.00,133.00,859.53
5792,2486.00,160.00,806.76
1717,6627.00,244.00,988.60
886,9085.00,133.00,1352.46
6262,2711.00,178.00,749.06
2806,5253.00,117.00,941.73
6002,5924.00,164.00,980.55
2688,2847.00,226.00,869.40
4113,6349.00,114.00,1012.46
1791,2643.00,186.00,901.72
1478,3783.00,209.00,885.15
1544,1903.00,78.00,793.45
3184,13488.00,84.00,1828.54
2405,6976.00,177.00,1011.55
6143,9621.00,203.00,1520.38
5212,3831.00,296.00,929.20
455,813.00,124.00,438.83
2845,7007.00,155.00,1126.29
2162,1564.00,200.00,775.36
5997,2404.00,195.00,870.20
254,9252.00,206.00,1178.54
2986,7324.00,161.00,1053.29
548,1877.00,529.00,953.50
4512,5117.00,194.00,970.90
965,2302.00,190.00,787.00
1290,6633.00,123.00,918.50
5673,1735.00,211.00,791.80
3094,4370.00,98.00,890.06
6391,8481.00,155.00,1107.11
552,3519.00,165.00,985.66
5763,3143.00,114.00,985.57
196,5483.00,143.00,1216.03
3083,4889.00,188.00,858.03
2921,2297.00,402.00,805.44
1975,4447.00,200.00,965.75
6124,9977.00,149.00,1232.08
4197,4276.00,211.00,885.13
2728,14555.00,95.00,1396.18
3530,7955.00,256.00,1146.60
3832,1341.00,201.00,510.60
5938,4115.00,148.00,757.68
10,5304.00,165.00,1014.22
6383,7977.00,193.00,1304.70
653,6409.00,146.00,1267.37
5513,5185.00,92.00,814.87
3342,443.00,258.00,350.50
1874,8755.00,185.00,1077.15
2344,14706.00,182.00,1336.20
6165,2475.00,125.00,892.50
5263,5985.00,232.00,874.81
20,9315.00,268.00,1155.06
329,11655.00,152.00,1588.04
6192,5758.00,140.00,812.85
3632,8357.00,165.00,1136.85
844,8326.00,272.00,2310.14
2631,3149.00,153.00,849.50
2120,5304.00,116.00,1283.81
1129,5256.00,159.00,1006.50
5906,2015.00,226.00,835.87
6098,3834.00,144.00,1001.40
1056,3465.00,231.00,970.72
1523,5054.00,201.00,1049.78
2251,2816.00,235.00,909.45
3649,6687.00,212.00,1071.63
1625,5288.00,98.00,1009.57
5996,26720.00,141.00,1773.00
5481,7892.00,135.00,1034.59
797,2853.00,159.00,809.97
2148,7815.00,223.00,1747.11
1176,2858.00,131.00,769.57
1725,4140.00,216.00,1033.42
3505,4173.00,147.00,815.56
3696,2846.00,110.00,857.49
5908,8170.00,169.00,1137.30
1071,6939.00,164.00,898.54
6271,4124.00,171.00,862.70
5878,1995.00,142.00,548.47
245,8326.00,141.00,1664.00
5290,8454.00,108.00,1061.02
4461,5737.00,81.00,1051.06
4866,2645.00,108.00,823.40
2898,4664.00,140.00,946.48
848,5157.00,181.00,1020.94
4084,3076.00,217.00,1000.87
876,6762.00,292.00,1366.42
5948,1917800.00,125.00,62586.09
4086,4478.00,295.00,1115.55
1541,4024.00,132.00,938.80
5068,6847.00,225.00,1000.97
392,6413.00,151.00,1238.88
199,5065.00,162.00,1008.67
2193,1300.00,194.00,642.73
1938,3993.00,171.00,846.02
1496,7264.00,258.00,1003.94
3037,4188.00,147.00,759.60
4483,2675.00,235.00,820.25
2802,6002.00,122.00,1337.31
5183,7034.00,73.00,1036.61
935,18877.00,229.00,2212.42
2288,2305.00,160.00,624.09
4642,7152.00,151.00,875.74
5232,1541.00,170.00,614.12
6046,8568.00,287.00,1202.66
5278,6716.00,127.00,877.40
5221,2160.00,492.00,1035.90
5747,5229.00,122.00,941.46
2973,3083.00,178.00,817.63
407,3280.00,248.00,832.85
5782,4158.00,129.00,769.38
5031,4255.00,133.00,918.65
261,2455.00,155.00,805.48
6213,4405.00,148.00,864.41
1376,3188.00,182.00,1066.85
4617,1193.00,245.00,773.87
4603,2425.00,108.00,853.90
147,4453.00,135.00,987.61
4577,2850.00,104.00,741.60
3584,7202.00,138.00,869.84
4401,6934.00,162.00,1015.45
1952,6332.00,211.00,1005.16
5213,5550.00,145.00,1131.21
3657,3969.00,208.00,951.79
4208,8235.00,108.00,1219.26
5804,6052.00,224.00,1239.11
1420,4553.00,127.00,1090.17
3555,5121.00,118.00,1364.10
4980,4720.00,174.00,936.33
471,2256.00,252.00,742.41
2778,865.00,219.00,514.69
3809,9419.00,75.00,1060.60
3574,6182.00,316.00,1009.08
6367,4263.00,142.00,993.64
4478,2996.00,130.00,992.55
2849,4649.00,205.00,1113.26
5936,5637.00,146.00,985.69
4597,5514.00,158.00,843.58
5837,5135.00,130.00,880.82
5358,5109.00,225.00,1300.50
2471,3751.00,218.00,1055.38
2738,5697.00,301.00,1447.60
1758,1228.00,223.00,652.36
6178,4830.00,139.00,822.88
3030,1964.00,117.00,842.73
1916,5275.00,126.00,1259.12
5801,2138.00,136.00,789.08
1172,1639.00,103.00,629.00
5523,50149.00,169.00,2672.21
2275,6185.00,135.00,1080.33
5052,10330.00,156.00,1510.83
1462,4576.00,150.00,1299.46
2236,8687.00,154.00,1787.14
1001,3045.00,174.00,997.11
4196,5934.00,139.00,860.19
6038,6413.00,177.00,940.90
3233,5715.00,134.00,917.46
5397,8317.00,129.00,1386.29
1072,2956.00,220.00,965.00
1534,8238.00,173.00,1075.32
3773,5496.00,193.00,1346.57
6108,31737.00,143.00,1338.35
1912,8035.00,163.00,1184.93
4934,2364.00,91.00,686.60
1255,2013.00,113.00,720.79
6329,5565.00,129.00,989.85
5721,4517.00,100.00,1408.95
1873,2066.00,176.00,622.52
1631,23040.00,89.00,1665.39
2106,9273.00,138.00,1036.24
6058,2791.00,139.00,781.50
6439,3456.00,136.00,850.35
3981,10809.00,69.00,1355.13
2255,1169.00,381.00,749.00
4180,5767.00,185.00,1427.34
3710,41827.00,186.00,3028.00
5078,3906.00,156.00,1087.75
3853,8528.00,126.00,1130.97
3378,2686.00,229.00,1100.72
1065,4144.00,143.00,993.94
2261,8362.00,100.00,1112.80
594,118488.00,169.00,5929.82
5580,3273.00,214.00,1034.23
3460,21316.00,79.00,1488.08
5834,8509.00,191.00,1369.02
3103,7333.00,182.00,1179.58
1447,10333.00,143.00,1042.08
3101,14570.00,155.00,1592.65
4247,4010.00,152.00,881.97
6128,644.00,219.00,409.80
48,2526.00,173.00,980.18
1711,5040.00,217.00,823.64
861,2006.00,259.00,936.64
3498,5802.00,192.00,980.86
3666,75748.00,150.00,3321.74
2657,3851.00,169.00,984.46
3093,5442.00,101.00,784.66
4808,6767.00,151.00,955.52
3577,4768.00,242.00,1099.28
4812,4264.00,137.00,872.10
696,6124.00,186.00,1058.04
4312,4377.00,129.00,1018.73
710,11260.00,101.00,1376.11
3662,5223.00,130.00,882.18
3417,6195.00,129.00,867.81
6099,4760.00,177.00,1005.11
6349,6937.00,155.00,1144.94
4635,2451.00,126.00,822.26
5036,1710.00,189.00,564.00
2741,4290.00,181.00,909.78
5454,9038.00,117.00,1235.92
4994,3723.00,220.00,981.72
5839,6359.00,121.00,1096.78
413,10243.00,231.00,2268.00
3175,9110.00,167.00,1008.90
2972,3691.00,91.00,829.86
1833,58144.00,79.00,1944.50
2585,5102.00,141.00,918.41
5403,2052.00,162.00,598.47
2934,7004.00,176.00,952.48
4873,8041.00,198.00,1139.50
3025,8210.00,101.00,1498.80
5964,3261.00,215.00,1110.45
2311,5396.00,174.00,1182.18
5828,5020.00,265.00,1101.43
3701,7517.00,140.00,1038.52
4654,9646.00,90.00,1263.18
6115,7638.00,120.00,804.85
2053,4090.00,120.00,1086.47
5582,6509.00,174.00,848.50
2458,5288.00,112.00,943.38
669,4121.00,174.00,1472.70
298,11536.00,159.00,1544.15
6392,7315.00,102.00,1137.52
5877,4118.00,124.00,951.75
2108,2372.00,210.00,989.11
823,3459.00,107.00,849.64
4591,2495.00,154.00,803.82
6304,4840.00,135.00,850.35
3156,4721.00,96.00,769.78
1256,6377.00,166.00,1181.37
693,7423.00,96.00,1263.42
5479,2380.00,133.00,851.94
3691,6118.00,130.00,1795.72
2270,2052.00,103.00,618.47
6134,5362.00,165.00,1187.44
2123,3332.00,185.00,1105.92
437,970.00,122.00,475.83
5612,2778.00,117.00,912.05
5236,3197.00,187.00,944.15
1582,10161.00,82.00,1086.17
5433,6772.00,317.00,1412.92
3219,5620.00,201.00,1224.76
382,52824.00,129.00,3148.53
1409,2293.00,132.00,708.91
4279,4403.00,116.00,716.07
2376,2239.00,177.00,739.65
1,9681.00,161.00,1487.21
2599,2758.00,358.00,1035.20
2004,12428.00,125.00,1082.51
2750,15846.00,86.00,1653.27
6176,4530.00,150.00,939.13
976,2500.00,144.00,783.89
5090,3084.00,75.00,801.72
2876,6951.00,195.00,1119.23
4991,7367.00,405.00,1577.57
2532,6163.00,152.00,1190.80
5494,4307.00,273.00,1324.50
225,6196.00,179.00,1163.37
4048,2305.00,189.00,657.88
1616,5878.00,124.00,974.26
1426,1800.00,124.00,581.20
2241,3474.00,67.00,766.89
590,9204.00,159.00,1204.37
5003,4006.00,127.00,850.81
3726,3678.00,248.00,1016.97
1100,7584.00,167.00,1352.20
6107,12915.00,316.00,1728.15
1778,2846.00,262.00,904.80
106,3410.00,165.00,989.37
6337,4811.00,283.00,1093.60
5676,7809.00,196.00,1104.72
3957,9743.00,121.00,1165.38
4930,7002.00,203.00,1131.97
4183,2631.00,281.00,1111.71
2964,34322.00,129.00,1871.23
321,2007.00,207.00,913.14
1765,4770.00,69.00,960.14
102,1466.00,183.00,657.12
1515,3697.00,63.00,1007.59
6461,15847.00,100.00,1233.26
4751,10956.00,160.00,1109.83
2146,4167.00,172.00,1072.91
2609,5482.00,154.00,1216.24
3891,3102.00,152.00,987.30
5326,7892.00,152.00,1220.00
2821,5344.00,69.00,955.67
2864,4765.00,115.00,1205.73
2419,4421.00,176.00,1108.60
869,3105.00,158.00,864.47
2183,5464.00,108.00,1010.11
2931,5034.00,103.00,1023.38
2074,3639.00,123.00,924.69
3808,2258.00,235.00,705.92
1580,2280.00,195.00,757.94
4381,2870.00,209.00,992.52
5339,4091.00,151.00,960.06
600,3894.00,302.00,1059.23
3642,1738.00,234.00,978.65
4690,7152.00,122.00,1173.93
3406,5690.00,220.00,964.12
6466,9398.00,131.00,1044.01
5119,6524.00,142.00,1168.96
3841,92402.00,140.00,5571.22
3591,3755.00,107.00,866.42
4820,4181.00,160.00,827.47
2683,9046.00,105.00,1372.64
5074,1426.00,219.00,741.41
154,6792.00,159.00,1099.22
3365,9392.00,80.00,1089.51
6296,9339.00,69.00,1080.46
493,3296.00,177.00,863.25
6470,2979.00,131.00,770.84
5195,3029.00,177.00,846.59
2561,2888.00,175.00,922.34
5672,9396.00,243.00,1491.95
5961,6352.00,211.00,1158.64
4318,2802.00,150.00,722.03
2206,2685.00,99.00,825.38
1821,6471.00,254.00,1213.82
5700,8615.00,268.00,1627.61
6211,1722.00,122.00,815.86
6057,2846.00,190.00,957.86
2650,667.00,174.00,353.33
6233,7694.00,74.00,933.13
6423,8760.00,127.00,995.94
2704,4333.00,142.00,1143.19
6142,5327.00,165.00,945.92
1330,2054.00,166.00,684.39
5881,2713.00,163.00,999.18
6250,3609.00,111.00,817.89
4173,572.00,260.00,386.00
5330,2298.00,187.00,881.71
6316,8031.00,143.00,961.86
1368,2272.00,116.00,936.26
4392,3397.00,122.00,727.89
3766,3773.00,254.00,977.34
4971,8884.00,129.00,1010.76
4482,2136.00,84.00,898.78
384,3046.00,104.00,1100.07
3677,1704.00,224.00,744.94
6175,6837.00,125.00,857.66
890,1381.00,160.00,770.50
4245,6810.00,85.00,1113.80
3639,2045.00,210.00,765.46
4517,2055.00,179.00,856.17
